MAN2B1,MAN2B1
NFKBIA,NFKBIA
DCTD,DCTD
MBNL1,MBNL1
MYCBP,MYCBP
PTPN1,PTPN1
BRP44,MPC2
ECD,ECD
CIRBP,CIRBP
NFKBIE,NFKBIE
PRSS23,PRSS23
CCNH,CCNH
P4HA2,P4HA2
ATP6V0B,ATP6V0B
CAPN1,CAPN1
STXBP1,STXBP1
ITGB5,ITGB5
SLC11A2,SLC11A2
PDIA5,PDIA5
RAP1GAP,RAP1GAP
NOLC1,NOLC1
CAT,CAT
DUSP14,DUSP14
HMGA2,HMGA2
IGFBP3,IGFBP3
TRIB1,TRIB1
TP53BP1,TP53BP1
FRS2,FRS2
BECN1,BECN1
KDELR2,KDELR2
ELAVL1,ELAVL1
IFNAR1,IFNAR1
MIF,GIF
DAG1,DAG1
IGF2BP2,IGF2BP2
IGF2R,IGF2R
TIPARP,TIPARP
CRTAP,CRTAP
GMNN,GMNN
CYTH1,CYTH1
PRCP,PRCP
SMARCA4,SMARCA4
PYGL,PYGL
RPA2,RPA2
ERBB3,ERBB3
GTF2E2,GTF2E2
ANXA7,ANXA7
TXNRD1,TXNRD1
FZD1,FZD1
CRYZ,CRYZ
GAA,GAA
SKIV2L,SKIV2L
BLMH,BLMH
RRP1B,RRP1B
TSPAN3,TSPAN3
PIK3R3,PIK3R3
KEAP1,KEAP1
TFDP1,TFDP1
SMC3,SMC3
LBR,LBR
PPIE,PPIE
TERF2IP,TERF2IP
BNIP3,BNIP3
BCL2,BCL2
RBM6,RBM6
CSK,CSK
ALDOC,ALDOC
UBE2L6,UBE2L6
SYK,SYK
PCBD1,PCBD1
ICMT,ICMT
EIF4EBP1,EIF4EBP1
GNPDA1,GNPDA1
CCND3,CCND3
NUCB2,NUCB2
RSU1,RSU1
PTPN6,PTPN6
DUSP4,DUSP4
PTPN12,PTPN12
PCK2,PCK2
RB1,RB1
GFPT1,GFPT1
BLVRA,BLVRA
S100A13,S100A13
MYBL2,MYBL2
STX4,STX4
TMCO1,TMCO1
PARP1,PARP1
CCDC85B,CCDC85B
DDB2,DDB2
BAMBI,BAMBI
HADH,HADH
GLRX,GLRX
MVP,MVP
STMN1,STMN1
GALE,GALE
PTPRF,PTPRF
PGM1,PGM1
LOXL1,LOXL1
MYO10,MYO10
LIPA,LIPA
PHGDH,PHGDH
ST7,ST7
IKBKB,IKBKB
PCM1,PCM1
IER3,IER3
FAT1,FAT1
RNMT,RNMT
EGFR,EGFR
NET1,NET1
DECR1,DECR1
CDK6,CDK6
NPC1,NPC1
MEST,MEST
PAFAH1B3,PAFAH1B3
CALU,CALU
LGALS8,LGALS8
LRP10,LRP10
ATP1B1,ATP1B1
OXCT1,OXCT1
SLC25A4,SLC25A4
PSMB10,PSMB10
ASCC3,ASCC3
TRAM2,TRAM2
PYCR1,PYCR1
NCOA3,NCOA3
POLD4,POLD4
FOSL1,FOSL1
PRKACA,PRKACA
LYRM1,LYRM1
VDAC1,VDAC1
SORBS3,SORBS3
SPAG4,SPAG4
E2F2,E2F2
